Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	8/150	0.000000002884714311995073639133993533413373444584948401825386099517345428466796875	0.0000000692331434878817640304933945898102631844039933639578521251678466796875	0.0000002043248405916230794432224271428566453323583118617534637451171875	0.0000049037961741989539066373382514285594879765994846820831298828125	-2.041461996858804	33.65510588671432	CACNB3;KCNB1;CACNA1B;CACNA1A;CACNA1D;CACNA1E;KCNK3;KCNJ3
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	7/149	0.0000000730882333645446474217600659785409877855499871657229959964752197265625	0.000000877058800374535822000679995136263045196756138466298580169677734375	0.00000307476944430446079672600810661631243192459805868566036224365234375	0.000036897233331653527866646202770795071046450175344944000244140625	-1.9859285988998594	27.69713410495604	CACNB3;KCNB1;CACNA1B;CACNA1A;CACNA1D;CACNA1E;KCNJ3
Arrhythmogenic Right Ventricular Cardiomyopathy_Homo sapiens_WP2118	5/75	0.00000108597130075587815339877538478585705661316751502454280853271484375	0.00000868777040604702522719020307828685645290534012019634246826171875	0.00001974807413445228452078018810400550364647642709314823150634765625	0.00015798459307561827616624150483204402917181141674518585205078125	-1.723507483841721	20.085056854723298	CACNB2;CACNB3;CACNA2D1;CACNA2D2;CACNA1D
Hypothetical Network for Drug Addiction_Homo sapiens_WP666	3/32	0.00006520298920582355355589354584111561052850447595119476318359375	0.0003129743481879530679103107448923992706113494932651519775390625	0.000433000292927355231835384596905669241095893085002899169921875	0.002078401406051305112809846065147212357260286808013916015625	-1.6473419471037711	13.293043523331226	GRIA1;GRIA2;GRIA4
Hypothetical Network for Drug Addiction_Mus musculus_WP1246	3/30	0.000053556052366811896111274682308334149638540111482143402099609375	0.0003129743481879530679103107448923992706113494932651519775390625	0.000363039201030733080753643005067488047643564641475677490234375	0.002078401406051305112809846065147212357260286808013916015625	-1.616455737636311	13.043810674350777	GRIA1;GRIA2;GRIA4
Nicotine Activity on Dopaminergic Neurons_Homo sapiens_WP1602	2/22	0.00131647226700016260238224052869782099151052534580230712890625	0.004513619201143415256283208947252205689437687397003173828125	0.004712517712267140501669615559876547195017337799072265625	0.016157203584915909300168124218544107861816883087158203125	-1.7140926326683343	9.257224598888582	CHRNA3;KCNK3
Type II diabetes mellitus_Homo sapiens_WP1584	2/22	0.00131647226700016260238224052869782099151052534580230712890625	0.004513619201143415256283208947252205689437687397003173828125	0.004712517712267140501669615559876547195017337799072265625	0.016157203584915909300168124218544107861816883087158203125	-1.5943692617828933	8.61063986192646	KCNJ11;CACNA1A
BDNF signaling pathway_Homo sapiens_WP2380	3/144	0.00528672948712149808059290734263413469307124614715576171875	0.014097945298990659235283118277948233298957347869873046875	0.0248900015074492199362854449873339035548269748687744140625	0.05973600361787813339820019109538407064974308013916015625	-2.0030523374724254	8.536460658010478	GRIA1;GABRB3;GRIA2
SIDS Susceptibility Pathways_Homo sapiens_WP706	3/160	0.00707161213579667047302024229793460108339786529541015625	0.01542897193264728024353349411512681399472057819366455078125	0.0324865407793625549093263771283091045916080474853515625	0.07087972533679103015469280535398866049945354461669921875	-1.8320306122515218	7.642330799799186	KCNH2;HTR3A;SCN3B
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	2/42	0.004756059985011741424176801018575133639387786388397216796875	0.014097945298990659235283118277948233298957347869873046875	0.01531653986903966195576298758851407910697162151336669921875	0.045949619607118984132565486788735142908990383148193359375	-1.7836077966940487	7.6012481056846575	KCNJ6;GABRG2
Synaptic Vesicle Pathway_Homo sapiens_WP2267	2/51	0.00694494419650069742810938322463698568753898143768310546875	0.01542897193264728024353349411512681399472057819366455078125	0.02178557760184400560188322515386971645057201385498046875	0.058094873604917350584653235046062036417424678802490234375	-1.691782140540735	7.057283144038204	CACNA1B;CACNA1A
Circadian rythm related genes_Homo sapiens_WP3594	2/200	0.086219319152067430689356797302025370299816131591796875	0.1644561752785628494510916652870946563780307769775390625	0.217984091487447517732078949848073534667491912841796875	0.3459753124082585173937332001514732837677001953125	-1.8302403889498708	3.303787344165647	KCND2;KCNH7
Amyotrophic lateral sclerosis (ALS)_Homo sapiens_WP2447	1/38	0.08908042827588820433692973210781929083168506622314453125	0.1644561752785628494510916652870946563780307769775390625	0.15644915878325094116263471732963807880878448486328125	0.3128983175665018823252694346592761576175689697265625	-1.5474358915743889	2.793293791000028	GRIA1
Hematopoietic Stem Cell Differentiation_Homo sapiens_WP2849	1/47	0.10901193233924146019919731998015777207911014556884765625	0.17791999208456454883986452841782011091709136962890625	0.1890554992799512168399900247095501981675624847412109375	0.33017605597362986724618849621037952601909637451171875	-1.4727201481347525	2.5425354509534666	KCNH2
Mecp2 and Associated Rett Syndrome_Homo sapiens_WP3584	1/48	0.11119999505285284302491533026113756932318210601806640625	0.17791999208456454883986452841782011091709136962890625	0.1926026993179507373898928790367790497839450836181640625	0.33017605597362986724618849621037952601909637451171875	-1.4226944479536716	2.456170015992683	GRIA1
SIDS Susceptibility Pathways_Mus musculus_WP1266	1/59	0.134923976010754731458263222521054558455944061279296875	0.2023859640161320971873948337815818376839160919189453125	0.230650208272172363432872543853591196238994598388671875	0.3459753124082585173937332001514732837677001953125	-1.5364645977565157	2.4546231019577593	KCNH2
Alzheimers Disease_Mus musculus_WP2075	1/73	0.1642225867262865623974477102819946594536304473876953125	0.2318436518488751485467247448468697257339954376220703125	0.276586398205501848845955237266025505959987640380859375	0.39047491511364962324392990922206081449985504150390625	-1.5209613459302986	2.223177106095571	CACNA1D
