Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080	27/277	0.000000000000000000000000024408254477437384840604056719111189750656113050677353787041772669502075025771414829023342463187873363494873046875	0.000000000000000000000001293637487304181353504126182054512638007801193019676197783567097037045467988747304843855090439319610595703125	0.00000000000000000003449612851388180488609446907542209367011387079357431664598798715104521761531941592693328857421875	0.00000000000000000182829481123573567100006901341759504611589729321523452310049862035157275386154651641845703125	-1.8933839058599151	104.14479451812849	CHRNA2;CHRNA4;GRIK5;GRIK4;GRIK1;GABRR3;GABRR2;GLRA1;CHRND;GLRA2;CHRNG;CHRNE;CHRNA10;GABRQ;CHRNB2;CHRNB4;GRID2;CHRNB3;GABRA6;GRID1;GRIN2C;GRIN2B;GRIN1;P2RX6;GRIN3B;P2RX3;P2RX2
Nicotine addiction_Homo sapiens_hsa05033	10/40	0.0000000000000123145942504085207111127631507639942646452173302673571697596344165503978729248046875	0.0000000000003263367476358258146217063279154819562476695649078095584627590142190456390380859375	0.0000000000219851082862572924289920959771776572989898657084495425806380808353424072265625	0.0000000005826053695858182283656578027909896111413701191850122995674610137939453125	-1.8456990543406548	53.065410341394646	GABRQ;CHRNB2;GABRR3;GABRR2;GRIN3B;GABRA6;CHRNA4;GRIN2C;GRIN2B;GRIN1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_Homo sapiens_hsa05412	11/74	0.0000000000002614468106574726433927638527017492660700116735572606785353855229914188385009765625	0.000000000004618893654948683551724853822928340703855842885872107217437587678432464599609375	0.00000000028788186488903607572829651948978328668271586820992524735629558563232421875	0.00000000508591294637297056780232860852437870580189382962998934090137481689453125	-1.7513382317352602	45.71144434631739	CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNA1F;CACNG2;CACNG3;CACNG4;CACNG5
Oxytocin signaling pathway_Homo sapiens_hsa04921	13/158	0.000000000003882923037450083926205696158856845085806386297377912342199124395847320556640625	0.000000000029399274426407777721419151669690335119955459930451979744248092174530029296875	0.00000000494880983146045629910700897990775970480825662889401428401470184326171875	0.00000003746956015248631493316954139440044802000784329720772802829742431640625	-1.8141658637558158	43.99361493852758	KCNJ5;KCNJ9;CACNA1F;CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
Cardiac muscle contraction_Homo sapiens_hsa04260	11/78	0.000000000000477771027195179400704562514817591727697525250118104622742976061999797821044921875	0.00000000000633046611033612738750158989327400144327129272170395779539830982685089111328125	0.00000000047852419213086675396223444145494228807447001372565864585340023040771484375	0.0000000063404455457339845158490004915601001567182493090513162314891815185546875	-1.7011286597769684	43.864703543381836	CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNA1F;CACNG2;CACNG3;CACNG4;CACNG5
Hypertrophic cardiomyopathy (HCM)_Homo sapiens_hsa05410	11/83	0.0000000000009691183812476302254488733051692716797924365135230573287117294967174530029296875	0.000000000010272654841224880147419986950899453183316811788472477928735315799713134765625	0.00000000087208992119586327278680818069259671199144889897070243023335933685302734375	0.000000009244153164676151043091927050378286967458052458823658525943756103515625	-1.7194889994582139	43.50571216952678	CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNA1F;CACNG2;CACNG3;CACNG4;CACNG5
Dilated cardiomyopathy_Homo sapiens_hsa05414	11/90	0.000000000002419462242980015771176063730967786802837637960550409843563102185726165771484375	0.0000000000213719164796568055748251128170574057209274432267420706921257078647613525390625	0.000000001907066551888351024706760804250903207357481505823670886456966400146484375	0.00000001684575454168043356905436311495016799000268292729742825031280517578125	-1.7454371169808562	42.88354568260358	CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNA1F;CACNG2;CACNG3;CACNG4;CACNG5
MAPK signaling pathway_Homo sapiens_hsa04010	14/255	0.000000000129932800297904649752241320944811005244634571909045916981995105743408203125	0.00000000086080480197361834984503850025307387927586688647352275438606739044189453125	0.00000015037117949170514493695250367311100347933461307547986507415771484375	0.0000009671975105305851428132320191100035344788921065628528594970703125	-1.8195698215502152	37.98015991267548	CACNA1F;CACNA1H;CACNA1G;CACNB1;CACNG6;CACNA1I;CACNG7;CACNG8;CACNA1S;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261	11/148	0.00000000057038705502377425037660762637751858672441329645153018645942211151123046875	0.0000000033589459906955596237920777329642729736036699250689707696437835693359375	0.00000022613909064103984807896021054507418313050948199816048145294189453125	0.000001198537180397511316579475283694566911663059727288782596588134765625	-1.659364359575047	32.376917698756934	CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNA1F;CACNG2;CACNG3;CACNG4;CACNG5
Taste transduction_Homo sapiens_hsa04742	9/83	0.0000000007734623076848417033943183348707571533875437808092101477086544036865234375	0.0000000040993502307296604696429737015213323747531148910638876259326934814453125	0.00000016424108669387294178758818392893648052677235682494938373565673828125	0.0000009671975105305851428132320191100035344788921065628528594970703125	-1.6452063503927374	31.7729445798264	HCN4;GABRA6;P2RX3;P2RX2;HTR3C;PKD2L1;HTR3B;ASIC2;TRPM5
cAMP signaling pathway_Homo sapiens_hsa04024	11/199	0.0000000129669924569718285814443306156427959674459771122201345860958099365234375	0.0000000624773272926824469519009770668294123652231064625084400177001953125	0.00000361246153275323330112951507320229183051196741871535778045654296875	0.0000174054964759928518605071323666066973601118661463260650634765625	-1.6860784565720919	27.969448590213307	HCN4;GRIN3B;CNGB3;CACNA1S;CNGA4;GRIN2C;CACNA1F;GRIN2B;HCN2;GRIN1;CNGB1
Calcium signaling pathway_Homo sapiens_hsa04020	10/180	0.00000005852222592269961981775058226969143948537066535209305584430694580078125	0.00000023859061337715996965348611881518881006059018545784056186676025390625	0.0000100706159536624478855783293429482228020788170397281646728515625	0.0000381244746817221207501290292096740586202940903604030609130859375	-1.6553729972075875	25.241982740456198	CACNA1I;P2RX6;P2RX3;P2RX2;CACNA1S;GRIN2C;CACNA1F;CACNA1H;GRIN1;CACNA1G
Circadian entrainment_Homo sapiens_hsa04713	8/95	0.00000005290226778233585795627530391944948195970255255815573036670684814453125	0.000000233651682705316729686060152164361891635735446470789611339569091796875	0.0000049129251120969137420321955211921505224381689913570880889892578125	0.000021698752578428037317455345789340981355053372681140899658203125	-1.6250525148292174	24.813632716497068	KCNJ5;CACNA1I;KCNJ9;GRIN2C;GRIN2B;CACNA1H;GRIN1;CACNA1G
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723	8/101	0.000000085593998157095479778898208626791710429415616090409457683563232421875	0.00000032403442159471863416198987757621541305752543848939239978790283203125	0.0000075062489068953641970448863174336651127305231057107448577880859375	0.0000306023993896503354529732565669775112837669439613819122314453125	-1.56643134127856	23.406268873582988	GABRQ;GABRR3;KCNJ5;GABRR2;GABRA6;KCNJ9;CACNA1S;CACNA1F
Glutamatergic synapse_Homo sapiens_hsa04724	7/114	0.00000318508975928681511754895529231479400777971022762358188629150390625	0.00001125398381614674581693673338644856585233355872333049774169921875	0.0001334848299549691824465724732107219097088091075420379638671875	0.000471646399174224426574519863919476847513578832149505615234375	-1.5549762851083186	17.718625696964846	GRIN3B;GRIK5;GRIK4;GRIK1;GRIN2C;GRIN2B;GRIN1
Aldosterone synthesis and secretion_Homo sapiens_hsa04925	6/81	0.0000056010538684574346239065413544100380249801673926413059234619140625	0.0000185534909392652506564432013380638863964122720062732696533203125	0.0001588083439378020953434977879936695899232290685176849365234375	0.00052605263929396948487104967995264814817346632480621337890625	-1.5409699715525476	16.788640694650756	CACNA1I;KCNK9;CACNA1S;CACNA1F;CACNA1H;CACNA1G
GABAergic synapse_Homo sapiens_hsa04727	6/88	0.00000906604129474963027252205904904514000008930452167987823486328125	0.00002826471697774884811742331092165869677046430297195911407470703125	0.0002431414795506808986490232538102418402559123933315277099609375	0.000758029318599181558234467726009597754455171525478363037109375	-1.3730501654175438	14.381185021271774	GABRQ;GABRR3;GABRR2;GABRA6;CACNA1S;CACNA1F
Cholinergic synapse_Homo sapiens_hsa04725	6/111	0.00003419695061173975221720244821455025885370559990406036376953125	0.000095327007707374117350708486728905199925065971910953521728515625	0.0007880209731332518847957135932347227935679256916046142578125	0.002183945463424601281243742079141156864352524280548095703125	-1.5471120017965077	14.323468298205409	CHRNB2;CHRNB4;CHRNA4;KCNQ2;CACNA1S;CACNA1F
